Label,Region1,Region2
X1,LH_Vis_1,LH_Vis_2
X2,LH_Vis_1,LH_Vis_3
X3,LH_Vis_2,LH_Vis_3
X4,LH_Vis_1,LH_Vis_4
X5,LH_Vis_2,LH_Vis_4
X6,LH_Vis_3,LH_Vis_4
X7,LH_Vis_1,LH_Vis_5
X8,LH_Vis_2,LH_Vis_5
X9,LH_Vis_3,LH_Vis_5
X10,LH_Vis_4,LH_Vis_5
X11,LH_Vis_1,LH_Vis_6
X12,LH_Vis_2,LH_Vis_6
X13,LH_Vis_3,LH_Vis_6
X14,LH_Vis_4,LH_Vis_6
X15,LH_Vis_5,LH_Vis_6
X16,LH_Vis_1,LH_Vis_7
X17,LH_Vis_2,LH_Vis_7
X18,LH_Vis_3,LH_Vis_7
X19,LH_Vis_4,LH_Vis_7
X20,LH_Vis_5,LH_Vis_7
X21,LH_Vis_6,LH_Vis_7
X22,LH_Vis_1,LH_Vis_8
X23,LH_Vis_2,LH_Vis_8
X24,LH_Vis_3,LH_Vis_8
X25,LH_Vis_4,LH_Vis_8
X26,LH_Vis_5,LH_Vis_8
X27,LH_Vis_6,LH_Vis_8
X28,LH_Vis_7,LH_Vis_8
X29,LH_Vis_1,LH_Vis_9
X30,LH_Vis_2,LH_Vis_9
X31,LH_Vis_3,LH_Vis_9
X32,LH_Vis_4,LH_Vis_9
X33,LH_Vis_5,LH_Vis_9
X34,LH_Vis_6,LH_Vis_9
X35,LH_Vis_7,LH_Vis_9
X36,LH_Vis_8,LH_Vis_9
X37,LH_Vis_1,LH_SomMot_1
X38,LH_Vis_2,LH_SomMot_1
X39,LH_Vis_3,LH_SomMot_1
X40,LH_Vis_4,LH_SomMot_1
X41,LH_Vis_5,LH_SomMot_1
X42,LH_Vis_6,LH_SomMot_1
X43,LH_Vis_7,LH_SomMot_1
X44,LH_Vis_8,LH_SomMot_1
X45,LH_Vis_9,LH_SomMot_1
X46,LH_Vis_1,LH_SomMot_2
X47,LH_Vis_2,LH_SomMot_2
X48,LH_Vis_3,LH_SomMot_2
X49,LH_Vis_4,LH_SomMot_2
X50,LH_Vis_5,LH_SomMot_2
X51,LH_Vis_6,LH_SomMot_2
X52,LH_Vis_7,LH_SomMot_2
X53,LH_Vis_8,LH_SomMot_2
X54,LH_Vis_9,LH_SomMot_2
X55,LH_SomMot_1,LH_SomMot_2
X56,LH_Vis_1,LH_SomMot_3
X57,LH_Vis_2,LH_SomMot_3
X58,LH_Vis_3,LH_SomMot_3
X59,LH_Vis_4,LH_SomMot_3
X60,LH_Vis_5,LH_SomMot_3
X61,LH_Vis_6,LH_SomMot_3
X62,LH_Vis_7,LH_SomMot_3
X63,LH_Vis_8,LH_SomMot_3
X64,LH_Vis_9,LH_SomMot_3
X65,LH_SomMot_1,LH_SomMot_3
X66,LH_SomMot_2,LH_SomMot_3
X67,LH_Vis_1,LH_SomMot_4
X68,LH_Vis_2,LH_SomMot_4
X69,LH_Vis_3,LH_SomMot_4
X70,LH_Vis_4,LH_SomMot_4
X71,LH_Vis_5,LH_SomMot_4
X72,LH_Vis_6,LH_SomMot_4
X73,LH_Vis_7,LH_SomMot_4
X74,LH_Vis_8,LH_SomMot_4
X75,LH_Vis_9,LH_SomMot_4
X76,LH_SomMot_1,LH_SomMot_4
X77,LH_SomMot_2,LH_SomMot_4
X78,LH_SomMot_3,LH_SomMot_4
X79,LH_Vis_1,LH_SomMot_5
X80,LH_Vis_2,LH_SomMot_5
X81,LH_Vis_3,LH_SomMot_5
X82,LH_Vis_4,LH_SomMot_5
X83,LH_Vis_5,LH_SomMot_5
X84,LH_Vis_6,LH_SomMot_5
